Recipe Name,Ingredients,Steps,Nutrition Tags,Cooking Time
Ghee Rice,"rice, ghee, spices","Cook rice with ghee and whole spices.","Aromatic, Rich","20 mins"
Tomato Rice,"rice, tomato puree, spices","Cook rice with tomato puree and spices.","Quick Meal, Vegan","20 mins"
Jeera Rice,"rice, cumin seeds","Cook rice. Temper with cumin seeds.","Aromatic, Simple","15 mins"
Carrot Rice,"rice, carrot, spices","Cook rice with grated carrots and spices.","Healthy, Vegan","20 mins"
Coconut Rice,"rice, grated coconut, spices","Cook rice with coconut and tempered spices.","Flavorful, Vegan","20 mins"
Paneer Tikka Masala,"paneer tikka, tomato gravy, cream","Add pre-made paneer tikka to a spiced tomato gravy.","High Protein, Rich","30 mins"
Chicken Tikka Masala,"chicken tikka, tomato gravy, cream","Add pre-made chicken tikka to a spiced tomato gravy.","High Protein, Rich","35 mins"
Butter Chicken,"chicken, tomato puree, butter, cream","Cook chicken in a rich tomato and butter sauce.","High Protein, Creamy","40 mins"
Mutton Rogan Josh,"mutton, spices, yogurt","Cook mutton with spices and yogurt.","Spicy, Rich","60 mins"
Lamb Vindaloo,"lamb, vinegar, spices","Cook lamb in a spicy and tangy gravy with vinegar.","Spicy, Tangy","55 mins"
Fish Curry,"fish, coconut, tamarind, spices","Cook fish in a tangy coconut-based gravy.","High Protein, Spicy","25 mins"
Prawn Curry,"prawns, coconut, tamarind, spices","Cook prawns in a tangy coconut-based gravy.","High Protein, Spicy","25 mins"
Chicken Korma,"chicken, nuts, yogurt, spices","Cook chicken in a mild, creamy sauce with nuts and yogurt.","High Protein, Mild","40 mins"
Mutton Korma,"mutton, nuts, yogurt, spices","Cook mutton in a mild, creamy sauce.","High Protein, Mild","50 mins"
Fish Fry,"fish, spices, oil","Marinate fish in spices. Shallow or deep fry.","High Protein, Crispy","15 mins"
Prawn Fry,"prawns, spices, oil","Marinate prawns in spices. Shallow or deep fry.","High Protein, Crispy","15 mins"
Chicken Fry,"chicken, spices, oil","Marinate chicken in spices. Shallow or deep fry.","High Protein, Crispy","20 mins"
Chicken Roast,"chicken, onion, spices","Sauté chicken with onion and spices until dry roasted.","High Protein, Spicy","25 mins"
Beef Roast,"beef, spices, onion, coconut","Cook beef. Fry with spices and coconut slices.","High Protein, Spicy","45 mins"
Egg Roast,"boiled eggs, onion, tomato, spices","Cook boiled eggs in a thick masala.","High Protein, Spicy","25 mins"
Chicken Biryani,"chicken, basmati rice, biryani masala","Layer chicken and rice. Cook on dum.","High Protein, Aromatic","50 mins"
Mutton Biryani,"mutton, basmati rice, spices","Layer mutton and rice. Cook on dum.","High Protein, Aromatic","60 mins"
Fish Biryani,"fish, basmati rice, spices","Layer fish and rice. Cook on dum.","High Protein, Aromatic","45 mins"
Veg Biryani,"vegetables, basmati rice, spices","Layer vegetables and rice. Cook on dum.","Medium Carb, Aromatic","40 mins"
Egg Biryani,"eggs, basmati rice, spices","Layer boiled eggs and rice. Cook on dum.","High Protein, Aromatic","35 mins"
